Date,Time,CmNo,ValveTag,Location,Action,User
23/08/2026,13:46:39,CM79,11-011-A3,Bilge tie,ENABLED,User
23/08/2026,13:46:49,CM79,11-011-A3,Bilge tie,OPEN,User
23/08/2026,13:46:54,CM79,11-011-A3,Bilge tie,CLOSE,User
23/08/2026,13:47:01,CM78,11-011-A1,Pump 1,ENABLED,User
23/08/2026,13:47:04,CM78,11-011-A1,Pump 1,OPEN,User
23/08/2026,13:47:05,CM78,11-011-A1,Pump 1,CLOSE,User
23/08/2026,13:47:07,CM78,11-011-A1,Pump 1,DISABLED,User
23/08/2026,14:36:45,CM25,11-020-A1,DB tank,ENABLED,User
23/08/2026,14:37:44,CM25,11-020-A1,DB tank,DISABLED,User
23/08/2026,14:37:49,CM79,11-011-A3,Bilge tie,ENABLED,User
23/08/2026,14:37:55,CM79,11-011-A3,Bilge tie,OPEN,User
23/08/2026,14:38:15,CM79,11-011-A3,Bilge tie,CLOSE,User
23/08/2026,14:38:25,CM79,11-011-A3,Bilge tie,DISABLED,User
23/08/2026,14:47:34,CM25,11-020-A1,DB tank,ENABLED,User
23/08/2026,14:47:39,CM25,11-020-A1,DB tank,DISABLED,User
23/08/2026,14:47:44,CM79,11-011-A3,Bilge tie,ENABLED,User
23/08/2026,14:47:53,CM79,11-011-A3,Bilge tie,OPEN,User
23/08/2026,14:48:04,CM79,11-011-A3,Bilge tie,CLOSE,User
23/08/2026,14:48:15,CM79,11-011-A3,Bilge tie,DISABLED,User
23/08/2026,15:40:25,CM25,11-020-A1,DB tank,ENABLED,User
23/08/2026,15:42:05,CM25,11-020-A1,DB tank,DISABLED,User
23/08/2026,15:42:23,CM79,11-011-A3,Bilge tie,ENABLED,User
23/08/2026,15:42:38,CM79,11-011-A3,Bilge tie,DISABLED,User
23/08/2026,16:02:17,CM79,11-011-A3,Bilge tie,ENABLED,User
23/08/2026,16:05:31,CM79,11-011-A3,Bilge tie,OPEN,User
23/08/2026,16:05:43,CM79,11-011-A3,Bilge tie,FAULT RESET,User
23/08/2026,16:10:30,CM79,11-011-A3,Bilge tie,DISABLED,User
