Station,Slot,Module,Terminal,Channel,Address,Signal,CMNumber,ValveTag,Description
ET200SP_AFT,1,DI 16x24VDC ST_1,1,1,%I2.0,Open Limit Switch,CM25,11-020-A1,"DB tank, Filling"
ET200SP_AFT,1,DI 16x24VDC ST_1,2,2,%I2.1,Closed Limit Switch,CM25,11-020-A1,"DB tank, Filling"
ET200SP_AFT,1,DI 16x24VDC ST_1,3,3,%I2.2,Healthy,CM25,11-020-A1,"DB tank, Filling"
ET200SP_AFT,1,DI 16x24VDC ST_1,4,4,%I2.3,Local/Remote,CM25,11-020-A1,"DB tank, Filling"
ET200SP_AFT,1,DI 16x24VDC ST_1,5,5,%I2.4,Open Limit Switch,CM26,11-021-A1,"DB tank, Suction"
ET200SP_AFT,1,DI 16x24VDC ST_1,6,6,%I2.5,Closed Limit Switch,CM26,11-021-A1,"DB tank, Suction"
ET200SP_AFT,1,DI 16x24VDC ST_1,7,7,%I2.6,Healthy,CM26,11-021-A1,"DB tank, Suction"
ET200SP_AFT,1,DI 16x24VDC ST_1,8,8,%I2.7,Local/Remote,CM26,11-021-A1,"DB tank, Suction"
ET200SP_AFT,1,DI 16x24VDC ST_1,9,9,%I3.0,Open Limit Switch,CM50,11-008-A1,"Main line, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,10,10,%I3.1,Closed Limit Switch,CM50,11-008-A1,"Main line, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,11,11,%I3.2,Healthy,CM50,11-008-A1,"Main line, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,12,12,%I3.3,Local/Remote,CM50,11-008-A1,"Main line, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,13,13,%I3.4,Open Limit Switch,CM51,11-009-A1,"Aft peak C, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,14,14,%I3.5,Closed Limit Switch,CM51,11-009-A1,"Aft peak C, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,15,15,%I3.6,Healthy,CM51,11-009-A1,"Aft peak C, Isolation"
ET200SP_AFT,1,DI 16x24VDC ST_1,16,16,%I3.7,Local/Remote,CM51,11-009-A1,"Aft peak C, Isolation"
ET200SP_AFT,2,DI 16x24VDC ST_2,1,17,%I4.0,Open Limit Switch,CM52,11-010-A1,"Aft peak, Isolation"
ET200SP_AFT,2,DI 16x24VDC ST_2,2,18,%I4.1,Closed Limit Switch,CM52,11-010-A1,"Aft peak, Isolation"
ET200SP_AFT,2,DI 16x24VDC ST_2,3,19,%I4.2,Healthy,CM52,11-010-A1,"Aft peak, Isolation"
ET200SP_AFT,2,DI 16x24VDC ST_2,4,20,%I4.3,Local/Remote,CM52,11-010-A1,"Aft peak, Isolation"
ET200SP_AFT,2,DI 16x24VDC ST_2,5,21,%I4.4,Open Limit Switch,CM53,11-060-A1,"Aft peak P, Tank suction"
