Screen_1 Width: 1920, Height: 1080
Total items: 119

Name: OV_BG                          | Type: HmiRectangle                             | Left: 0, Top: 0
Name: Hdr_BG                         | Type: HmiRectangle                             | Left: 0, Top: 0
Name: Hdr_Logo                       | Type: HmiRectangle                             | Left: 12, Top: 10
Name: Hdr_Title                      | Type: HmiIOField                               | Left: 50, Top: 12
Name: Nav_Overview                   | Type: HmiButton                                | Left: 1680, Top: 8
Name: Nav_Alarms                     | Type: HmiButton                                | Left: 1798, Top: 8
Name: Sum_BG                         | Type: HmiRectangle                             | Left: 0, Top: 48
Name: Sum_Open_BG                    | Type: HmiRectangle                             | Left: 12, Top: 52
Name: Sum_Open_Dot                   | Type: HmiEllipse                               | Left: ?, Top: ?
Name: Sum_Open_Cnt                   | Type: HmiIOField                               | Left: 40, Top: 58
Name: Sum_Open_Lbl                   | Type: HmiIOField                               | Left: 87, Top: 61
Name: Sum_Closed_BG                  | Type: HmiRectangle                             | Left: 330, Top: 52
Name: Sum_Closed_Dot                 | Type: HmiEllipse                               | Left: ?, Top: ?
Name: Sum_Closed_Cnt                 | Type: HmiIOField                               | Left: 358, Top: 58
Name: Sum_Closed_Lbl                 | Type: HmiIOField                               | Left: 405, Top: 61
Name: Sum_Transit_BG                 | Type: HmiRectangle                             | Left: 648, Top: 52
Name: Sum_Transit_Dot                | Type: HmiEllipse                               | Left: ?, Top: ?
Name: Sum_Transit_Cnt                | Type: HmiIOField                               | Left: 676, Top: 58
Name: Sum_Transit_Lbl                | Type: HmiIOField                               | Left: 723, Top: 61
Name: Sum_Fault_BG                   | Type: HmiRectangle                             | Left: 966, Top: 52
Name: Sum_Fault_Dot                  | Type: HmiEllipse                               | Left: ?, Top: ?
Name: Sum_Fault_Cnt                  | Type: HmiIOField                               | Left: 994, Top: 58
Name: Sum_Fault_Lbl                  | Type: HmiIOField                               | Left: 1041, Top: 61
Name: Sum_Local_BG                   | Type: HmiRectangle                             | Left: 1284, Top: 52
Name: Sum_Local_Dot                  | Type: HmiEllipse                               | Left: ?, Top: ?
Name: Sum_Local_Cnt                  | Type: HmiIOField                               | Left: 1312, Top: 58
Name: Sum_Local_Lbl                  | Type: HmiIOField                               | Left: 1359, Top: 61
Name: Sum_Uncfg_BG                   | Type: HmiRectangle                             | Left: 1602, Top: 52
Name: Sum_Uncfg_Dot                  | Type: HmiEllipse                               | Left: ?, Top: ?
Name: Sum_Uncfg_Cnt                  | Type: HmiIOField                               | Left: 1630, Top: 58
Name: Sum_Uncfg_Lbl                  | Type: HmiIOField                               | Left: 1677, Top: 61
Name: FPC_V001                       | Type: HmiFaceplateContainer                    | Left: 12, Top: 100
Name: FPC_V002                       | Type: HmiFaceplateContainer                    | Left: 185, Top: 100
Name: FPC_V003                       | Type: HmiFaceplateContainer                    | Left: 358, Top: 100
Name: FPC_V004                       | Type: HmiFaceplateContainer                    | Left: 531, Top: 100
Name: FPC_V005                       | Type: HmiFaceplateContainer                    | Left: 704, Top: 100
Name: FPC_V006                       | Type: HmiFaceplateContainer                    | Left: 877, Top: 100
Name: FPC_V007                       | Type: HmiFaceplateContainer                    | Left: 1050, Top: 100
Name: FPC_V008                       | Type: HmiFaceplateContainer                    | Left: 1223, Top: 100
Name: FPC_V009                       | Type: HmiFaceplateContainer                    | Left: 1396, Top: 100
Name: FPC_V010                       | Type: HmiFaceplateContainer                    | Left: 1569, Top: 100
Name: FPC_V011                       | Type: HmiFaceplateContainer                    | Left: 1742, Top: 100
Name: FPC_V012                       | Type: HmiFaceplateContainer                    | Left: 12, Top: 218
Name: FPC_V013                       | Type: HmiFaceplateContainer                    | Left: 185, Top: 218
Name: FPC_V014                       | Type: HmiFaceplateContainer                    | Left: 358, Top: 218
